"endpoint","concurrency","duration_s","requests","successful","failed","rps","mean_ms","p50_ms","p95_ms","p99_ms","max_ms","error_rate_percent","status_codes"
"health","1","8","83055","83055","0","10381.74","0.095","0.089","0.122","0.145","13.015","0","200:83055"
"health","10","8","510815","510815","0","63850.96","0.156","0.14","0.235","0.344","31.158","0","200:510815"
"health","50","8.001","761620","761620","0","95196.48","0.524","0.472","0.872","1.352","37.054","0","200:761620"
"static_index","1","8","26704","26704","0","3337.93","0.299","0.288","0.355","0.467","8.945","0","200:26704"
"static_index","10","8","106944","106944","0","13367.27","0.747","0.728","0.936","1.146","16.656","0","200:106944"
"static_index","50","8.002","97261","97261","0","12154.26","4.112","4.033","5.171","5.824","23.362","0","200:97261"
"memory_api","1","8","80491","80491","0","10061.27","0.099","0.094","0.115","0.152","2.448","0","200:80491"
"memory_api","10","8.024","546148","546148","0","68067.54","0.146","0.135","0.21","0.288","26.622","0","200:546148"
"memory_api","50","8","774995","774995","0","96870.76","0.515","0.453","0.899","1.485","32.822","0","200:774995"
"database_api","1","8","14746","14746","0","1843.18","0.542","0.532","0.62","0.703","4.909","0","200:14746"
"database_api","10","8.002","30576","30576","0","3820.91","2.616","2.584","3.034","3.318","11.558","0","200:30576"
"database_api","50","8.012","30466","30466","0","3802.73","13.138","13.002","14.57","16.365","20.087","0","200:30466"
